schema-version, 2
type, bundleName, moduleName, size, minSize, gzipSize, brSize, bundleRatio, soloGzSize, soloBrSize
type, bundleName, size, minSize, gzipSize, brSize
module, vendor.js, addon-tree-output/ember-data/attr.js, 312, 218, 57, 47, 0.0003, 171, 138
module, vendor.js, addon-tree-output/ember-data/index.js, 3613, 2441, 642, 530, 0.003, 909, 766
module, vendor.js, addon-tree-output/ember-data/initialize-store-service.js, 726, 207, 54, 45, 0.0003, 177, 129
module, vendor.js, addon-tree-output/ember-data/model.js, 316, 222, 58, 48, 0.0003, 169, 137
module, vendor.js, addon-tree-output/ember-data/relationships.js, 461, 318, 84, 69, 0.0004, 195, 151
module, vendor.js, addon-tree-output/ember-data/serializer.js, 336, 232, 61, 50, 0.0003, 171, 139
module, vendor.js, addon-tree-output/ember-data/serializers/embedded-records-mixin.js, 366, 274, 72, 59, 0.0003, 200, 173
module, vendor.js, addon-tree-output/ember-data/serializers/json-api.js, 349, 251, 66, 54, 0.0003, 180, 153
module, vendor.js, addon-tree-output/ember-data/serializers/json.js, 335, 243, 64, 53, 0.0003, 177, 151
module, vendor.js, addon-tree-output/ember-data/serializers/rest.js, 335, 243, 64, 53, 0.0003, 177, 148
module, vendor.js, addon-tree-output/ember-data/setup-container.js, 2408, 1249, 329, 271, 0.0015, 581, 481
module, vendor.js, addon-tree-output/ember-data/store.js, 316, 222, 58, 48, 0.0003, 168, 137
module, vendor.js, addon-tree-output/ember-data/transform.js, 343, 241, 63, 52, 0.0003, 178, 148
module, vendor.js, addon-tree-output/ember-data/version.js, 243, 154, 41, 33, 0.0002, 150, 121
module, vendor.js, addon-tree-output/ember-fetch/ajax.js, 438, 219, 58, 48, 0.0003, 183, 169
module, vendor.js, addon-tree-output/ember-fetch/errors.js, 2059, 639, 168, 139, 0.0008, 282, 233
module, vendor.js, addon-tree-output/ember-fetch/mixins/adapter-fetch.js, 5185, 1644, 433, 357, 0.002, 816, 716
module, vendor.js, addon-tree-output/ember-fetch/types.js, 320, 206, 54, 45, 0.0003, 176, 160
module, vendor.js, addon-tree-output/ember-fetch/utils/determine-body-promise.js, 1268, 421, 111, 91, 0.0005, 327, 260
module, vendor.js, addon-tree-output/ember-fetch/utils/mung-options-for-fetch.js, 2012, 587, 154, 127, 0.0007, 388, 345
module, vendor.js, addon-tree-output/ember-fetch/utils/serialize-query-params.js, 2260, 762, 201, 165, 0.0009, 456, 388
module, vendor.js, addon-tree-output/ember-inflector/index.js, 1563, 1160, 305, 252, 0.0014, 384, 329
module, vendor.js, addon-tree-output/ember-inflector/lib/ext/string.js, 1312, 791, 208, 172, 0.001, 333, 283
module, vendor.js, addon-tree-output/ember-inflector/lib/helpers/pluralize.js, 548, 347, 91, 75, 0.0004, 249, 217
module, vendor.js, addon-tree-output/ember-inflector/lib/helpers/singularize.js, 392, 271, 71, 59, 0.0003, 200, 168
module, vendor.js, addon-tree-output/ember-inflector/lib/system.js, 671, 452, 119, 98, 0.0006, 231, 199
module, vendor.js, addon-tree-output/ember-inflector/lib/system/inflections.js, 1803, 1610, 424, 349, 0.002, 690, 649
module, vendor.js, addon-tree-output/ember-inflector/lib/system/inflector.js, 8143, 2840, 747, 616, 0.0035, 1121, 1017
module, vendor.js, addon-tree-output/ember-inflector/lib/system/string.js, 538, 351, 92, 76, 0.0004, 214, 180
module, vendor.js, addon-tree-output/ember-inflector/lib/utils/make-helper.js, 483, 308, 81, 67, 0.0004, 210, 181
module, vendor.js, addon-tree-output/ember-load-initializers/index.js, 2135, 787, 207, 171, 0.001, 430, 365
module, vendor.js, addon-tree-output/ember-resolver/features.js, 239, 52, 14, 11, 0.0001, 70, 52
module, vendor.js, addon-tree-output/ember-resolver/index.js, 336, 241, 63, 52, 0.0003, 177, 134
module, vendor.js, addon-tree-output/ember-resolver/resolver.js, 339, 244, 64, 53, 0.0003, 173, 141
module, vendor.js, addon-tree-output/ember-resolver/resolvers/classic/container-debug-adapter.js, 2909, 807, 212, 175, 0.001, 469, 390
module, vendor.js, addon-tree-output/ember-resolver/resolvers/classic/index.js, 14960, 6610, 1740, 1434, 0.0081, 2454, 2161
module, vendor.js, addon-tree-output/ember-resolver/utils/class-factory.js, 440, 217, 57, 47, 0.0003, 181, 139
module, vendor.js, addon-tree-output/ember-resolver/utils/make-dictionary.js, 351, 221, 58, 48, 0.0003, 181, 137
module, vendor.js, addon-tree-output/ember-test-waiters/build-waiter.js, 1173, 268, 71, 58, 0.0003, 186, 160
module, vendor.js, addon-tree-output/ember-test-waiters/index.js, 1706, 1103, 290, 239, 0.0014, 305, 261
module, vendor.js, addon-tree-output/ember-test-waiters/noop-test-waiter.js, 616, 276, 73, 60, 0.0003, 215, 162
module, vendor.js, addon-tree-output/ember-test-waiters/test-waiter.js, 3259, 839, 221, 182, 0.001, 439, 364
module, vendor.js, addon-tree-output/ember-test-waiters/types/index.js, 78, 59, 16, 13, 0.0001, 79, 60
module, vendor.js, addon-tree-output/ember-test-waiters/wait-for-promise.js, 1296, 335, 88, 73, 0.0004, 227, 185
module, vendor.js, addon-tree-output/ember-test-waiters/waiter-manager.js, 2441, 584, 154, 127, 0.0007, 358, 340
module, vendor.js, addon-tree-output/ember-welcome-page/components/welcome-page.js, 812, 582, 153, 126, 0.0007, 341, 268
module, vendor.js, addon-tree-output/ember-welcome-page/templates/components/welcome-page.js, 3706, 3350, 882, 727, 0.0041, 1317, 1047
module, vendor.js, vendor/ember-cli/vendor-suffix.js, 1, 0, 0, 0, 0, 20, 1
bundle, tests.lint-test.js, 132, 105, 109, 91
bundle, app.lint-test.js, 368, 283, 132, 112
bundle, templates.template.lint-test.js, 185, 158, 131, 100
bundle, tests.js, 2057, 1506, 576, 479
bundle, example-app.js, 11928, 7137, 1621, 1402
bundle, ember-fetch.js, 19519, 9928, 3308, 2941
bundle, test-support.js, 501353, 176847, 45874, 39917
bundle, vendor.js, 2789928, 814161, 214268, 176633
