schema-version, 3
type, dataset, bundleName, moduleName, size, minSize, gzipSize, brSize, bundleRatio, soloGzSize, soloBrSize
type, dataset, bundleName, size, minSize, gzipSize, brSize
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/views/lib/system/utils.js, 6858, 2458, 634, 534, 0.005, 1047, 876
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/views/lib/views/core_view.js, 2533, 1057, 273, 229, 0.0022, 583, 461
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/views/lib/views/states.js, 1385, 491, 127, 107, 0.001, 245, 208
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/views/lib/views/states/default.js, 765, 403, 104, 87, 0.0008, 273, 202
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/views/lib/views/states/destroying.js, 753, 519, 134, 113, 0.0011, 287, 224
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/views/lib/views/states/has_element.js, 1284, 595, 153, 129, 0.0012, 343, 287
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/views/lib/views/states/in_dom.js, 1387, 438, 113, 95, 0.0009, 258, 222
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/-internals/views/lib/views/states/pre_render.js, 456, 306, 79, 66, 0.0006, 210, 169
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/application/globals-resolver.js, 14054, 3047, 786, 661, 0.0062, 1213, 1060
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/application/index.js, 1143, 744, 192, 162, 0.0015, 259, 223
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/application/instance.js, 17171, 3427, 884, 744, 0.007, 1242, 1071
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/application/lib/application.js, 37875, 4512, 1164, 979, 0.0092, 1619, 1428
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/application/lib/lazy_load.js, 2113, 547, 141, 119, 0.0011, 363, 310
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/application/lib/validate-type.js, 1021, 441, 114, 96, 0.0009, 275, 226
module, /Users/mnorth/Development/oss/ember-asset-size-report/module-size-report.csv, ember.js, @ember/canary-features/index.js, 3683, 1439, 371, 312, 0.0029, 563, 479
