schema-version, 3
type, dataset, bundleName, moduleName, size, minSize, gzipSize, brSize, bundleRatio, soloGzSize, soloBrSize
type, dataset, bundleName, size, minSize, gzipSize, brSize
module, experiment: drop ie11, ember.js, @ember/-internals/views/lib/compat/attrs.js, 344, 242, 62, 53, 0.0005, 198, 165
module, experiment: drop ie11, ember.js, @ember/-internals/views/lib/compat/fallback-view-registry.js, 339, 243, 63, 53, 0.0005, 200, 158
module, experiment: drop ie11, ember.js, @ember/-internals/views/lib/component_lookup.js, 672, 383, 99, 83, 0.0008, 245, 207
module, experiment: drop ie11, ember.js, @ember/-internals/views/lib/mixins/action_support.js, 6264, 984, 254, 214, 0.002, 551, 476
module, experiment: drop ie11, ember.js, @ember/-internals/views/lib/mixins/child_views_support.js, 868, 450, 116, 98, 0.0009, 292, 250
module, experiment: drop ie11, ember.js, @ember/-internals/views/lib/mixins/class_names_support.js, 3388, 414, 107, 90, 0.0008, 279, 226
module, experiment: drop ie11, ember.js, @ember/-internals/views/lib/mixins/text_support.js, 11488, 1693, 437, 368, 0.0035, 780, 651
module, experiment: drop ie11, ember.js, @ember/-internals/views/lib/mixins/view_state_support.js, 712, 384, 99, 83, 0.0008, 257, 214
module, experiment: drop ie11, ember.js, @ember/-internals/views/lib/mixins/view_support.js, 14824, 1725, 445, 374, 0.0035, 759, 637
module, experiment: drop ie11, ember.js, @ember/-internals/views/lib/system/action_manager.js, 426, 198, 51, 43, 0.0004, 178, 133
module, experiment: drop ie11, ember.js, @ember/-internals/views/lib/system/event_dispatcher.js, 16624, 4305, 1110, 935, 0.0088, 1806, 1557
module, experiment: drop ie11, ember.js, @ember/-internals/views/lib/system/jquery.js, 1319, 694, 179, 151, 0.0014, 399, 345
module, experiment: drop ie11, ember.js, @ember/-internals/views/lib/system/jquery_event_deprecation.js, 3267, 301, 78, 65, 0.0006, 215, 169
module, experiment: drop ie11, ember.js, @ember/-internals/views/lib/system/lookup_partial.js, 1835, 887, 229, 193, 0.0018, 432, 353
module, experiment: drop ie11, ember.js, @ember/-internals/views/lib/system/utils.js, 6858, 2458, 634, 534, 0.005, 1047, 876
module, experiment: drop ie11, ember.js, @ember/-internals/views/lib/views/core_view.js, 2533, 1057, 273, 229, 0.0022, 583, 461
module, experiment: drop ie11, ember.js, @ember/-internals/views/lib/views/states.js, 1385, 491, 127, 107, 0.001, 245, 208
module, experiment: drop ie11, ember.js, @ember/-internals/views/lib/views/states/default.js, 765, 403, 104, 87, 0.0008, 273, 202
module, experiment: drop ie11, ember.js, @ember/-internals/views/lib/views/states/destroying.js, 753, 519, 134, 113, 0.0011, 287, 224
module, experiment: drop ie11, ember.js, @ember/-internals/views/lib/views/states/has_element.js, 1284, 595, 153, 129, 0.0012, 343, 287
module, experiment: drop ie11, ember.js, @ember/-internals/views/lib/views/states/in_dom.js, 1387, 438, 113, 95, 0.0009, 258, 222
module, experiment: drop ie11, ember.js, @ember/-internals/views/lib/views/states/pre_render.js, 456, 306, 79, 66, 0.0006, 210, 169
module, experiment: drop ie11, ember.js, @ember/application/globals-resolver.js, 14054, 3047, 786, 661, 0.0062, 1213, 1060
module, experiment: drop ie11, ember.js, @ember/application/index.js, 1143, 744, 192, 162, 0.0015, 259, 223
module, experiment: drop ie11, ember.js, @ember/application/instance.js, 17171, 3427, 884, 744, 0.007, 1242, 1071
